Using field units, Initial reservoir pressure [psi]: ,0,,,,,,,,
,Well_1A,Well_10A,Well_11A,Well_3A,Well_5A,Well_6A,Well_7A,Well_9A,Well_2A,Well_4A
Time,,,,,,,,,,
hours,,,,,,,,,,
0,,,,,,,,,,
47.2384786,,,,,,,,,,
47.3235546,,,,,,,,,,
47.40905481,,,,,,,,,,
47.48791474,,,,,,,,,,
47.57438459,,,,,,,,,,
47.66204694,,,,,,,,,,
47.73998948,,,,,,,,,,
47.81956032,,,,,,,,,,
47.90646044,,,,,,,,,,
47.99754596,,,,,,,,,,
48.08836956,,,,,,,,,,
48.17027097,,,,,,,,,,
48.25163583,,,,,,,,,,
48.25193224,,,,,,,,,,
48.32992842,,,,,,,,,,
48.33022928,,,,,,,,,,
48.41785032,,,,,,,,,,
48.50547778,,,,,,,,,,
48.58199058,,,,,,,,,,
48.58225794,,,,,,,,,,
48.67034849,,,,,,,,,,
48.670623,,,,,,,,,,
48.75004463,,,,,,,,,,
48.8283845,,,,,,,,,,
48.90984508,,,,,,,,,,
48.98984842,,,,,,,,,,
49.06653335,,,,,,,,,,
49.15624456,,,,,,,,,,
49.24296234,,,,,,,,,,
49.32949584,,,,,,,,,,
49.40790485,,,,,,,,,,
49.48491042,,,,,,,,,,
49.48517634,,,,,,,,,,
49.57023246,,,,,,,,,,
49.64803188,,,,,,,,,,
49.73094879,,,,,,,,,,
49.81744403,,,,,,,,,,
49.89682365,,,,,,,,,,
49.97794398,,,,,,,,,,
49.97822629,,,,,,,,,,
50.06162131,,,,,,,,,,
50.0619054,,,,,,,,,,
50.15047111,,,,,,,,,,
50.15075857,,,,,,,,,,
50.22968252,,,,,,,,,,
50.3190358,,,,,,,,,,
50.4061787,,,,,,,,,,
50.49726727,,,,,,,,,,
50.5769996,,,,,,,,,,
50.66391282,,,,,,,,,,
50.74720785,,,,,,,,,,
50.82457396,,,,,,,,,,
50.9086559,,,,,,,,,,
50.98407479,,,,,,,,,,
51.06234454,,,,,,,,,,
51.14356055,,,,,,,,,,
51.14381848,,,,,,,,,,
51.22162507,,,,,,,,,,
51.29799822,,,,,,,,,,
51.38723549,,,,,,,,,,
51.46787639,,,,,,,,,,
51.46814012,,,,,,,,,,
51.55070604,,,,,,,,,,
51.63612937,,,,,,,,,,
51.72392168,,,,,,,,,,
51.72419816,,,,,,,,,,
51.79981443,,,,,,,,,,
51.88868646,,,,,,,,,,
51.97539509,,,,,,,,,,
52.06153383,,,,,,,,,,
52.14058211,,,,,,,,,,
52.22313433,,,,,,,,,,
52.30322475,,,,,,,,,,
52.38611343,,,,,,,,,,
52.46502745,,,,,,,,,,
52.5488083,,,,,,,,,,
52.63146629,,,,,,,,,,
52.71010516,,,,,,,,,,
52.78757178,,,,,,,,,,
52.86823809,,,,,,,,,,
52.86850756,,,,,,,,,,
52.94724389,,,,,,,,,,
53.03371418,,,,,,,,,,
53.10928367,,,,,,,,,,
53.19817272,,,,,,,,,,
53.19845669,,,,,,,,,,
53.27720757,,,,,,,,,,
53.35522735,,,,,,,,,,
53.35549209,,,,,,,,,,
53.44174693,,,,,,,,,,
53.52272489,,,,,,,,,,
53.60691398,,,,,,,,,,
53.6867031,,,,,,,,,,
53.77446802,,,,,,,,,,
53.85516859,,,,,,,,,,
53.85547038,,,,,,,,,,
53.94043089,,,,,,,,,,
54.02773493,,,,,,,,,,
54.1060172,,,,,,,,,,
54.18405661,,,,,,,,,,
54.26876663,,,,,,,,,,
54.34385123,,,,,,,,,,
54.43474761,,,,,,,,,,
54.43502058,,,,,,,,,,
54.51785377,,,,,,,,,,
54.60170411,,,,,,,,,,
54.60200357,,,,,,,,,,
54.68144105,,,,,,,,,,
54.68170185,,,,,,,,,,
54.76469581,,,,,,,,,,
54.85597487,,,,,,,,,,
54.85627495,,,,,,,,,,
54.93712275,,,,,,,,,,
55.01970824,,,,,,,,,,
55.10965961,,,,,,,,,,
55.19791133,,,,,,,,,,
55.27500822,,,,,,,,,,
55.35603986,,,,,,,,,,
55.44579976,,,,,,,,,,
55.5264388,,,,,,,,,,
55.60774508,,,,,,,,,,
55.69877746,,,,,,,,,,
55.78143993,,,,,,,,,,
55.86581667,,,,,,,,,,
55.94221168,,,,,,,,,,
56.02932559,,,,,,,,,,
56.10460485,,,,,,,,,,
56.18992593,,,,,,,,,,
56.19020167,,,,,,,,,,
56.2685705,,,,,,,,,,
56.26884869,,,,,,,,,,
56.35524371,,,,,,,,,,
56.43612727,,,,,,,,,,
56.43640704,,,,,,,,,,
56.52045868,,,,,,,,,,
56.60285164,,,,,,,,,,
56.68171019,,,,,,,,,,
56.76512547,,,,,,,,,,
56.84402554,,,,,,,,,,
56.92288021,,,,,,,,,,
57.0080417,,,,,,,,,,
57.09780975,,,,,,,,,,
57.17635848,,,,,,,,,,
57.26396119,,,,,,,,,,
57.34842624,,,,,,,,,,
57.42698877,,,,,,,,,,
57.50714886,,,,,,,,,,
57.5878794,,,,,,,,,,
57.66861977,,,,,,,,,,
57.66888254,,,,,,,,,,
57.7576331,,,,,,,,,,
57.83998593,,,,,,,,,,
57.84025975,,,,,,,,,,
57.9276409,,,,,,,,,,
58.01654267,,,,,,,,,,
58.01683078,,,,,,,,,,
58.10339326,,,,,,,,,,
